placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
22s-222@62j-sj2-y9z,,Apartments at 83 Winter St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.372827,-71.082034,83 Winter St,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
22s-223@62j-sj2-rhq,,Greater Boston Spanish Group,"","",Other Schools and Instruction,Language Schools,611630,42.366485,-71.103685,45 Prospect St,Cambridge,MA,02139,US,+18579280988,,"",,,2019-07-01,POLYGON
22v-222@62j-sj2-hwk,,Apartments at 7 Dana St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.370109,-71.110474,7 Dana St,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
22y-222@62j-sjs-f9f,,Apartments at 773 Concord Ave,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.39094,-71.154677,773 Concord Ave,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
234-222@62j-sj3-9s5,,Apartments at 376 Prospect St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.374206,-71.097324,376 Prospect St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
235-222@62j-sk3-4gk,,Apartments at 19 Forest St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.385431,-71.11682,19 Forest St,Cambridge,MA,02140,US,,,"",,,2019-07-01,POLYGON
236-222@62j-shx-k4v,,Condos at 95 Second St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.36827,-71.079349,95 2nd St,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
23b-222@62j-sjv-psq,,Townhouses at 8 Camden Pl,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.375172,-71.131003,8 Camden Pl,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
23g-222@62j-sj2-x5z,,Apartments at 15 Marney St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.37065,-71.089879,15 Marney St,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
23r-222@62j-sgg-789,,Apartments at 66 Allston St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.357616,-71.106074,66 Allston St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
23y-222@62j-sj2-swk,,Davenport Apartments,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.366194,-71.107539,345 Franklin St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
243-222@62j-sgg-j9z,,Apartments at 19 Andrew St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.361643,-71.112044,19 Andrew St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
245-222@62j-sj2-5zz,,Cambridge Community Outreach Tabernacle,"","",Religious Organizations,Religious Organizations,813110,42.366758,-71.09751,190 Harvard St,Cambridge,MA,02139,US,,,"Churches,Hindu Temple,Mosque,Sikh Temple,Synagogues",,,2019-07-01,POLYGON
246-222@62j-sj2-ht9,,Apartments at 359 Harvard St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.371428,-71.110862,359 Harvard St,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
25h-222@62j-sj2-4gk,,Apartments at 23 Portsmouth St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.368423,-71.093551,23 Portsmouth St,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
25k-222@62j-sk3-3yv,,Apartments at 19 Chauncy St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.37982,-71.122631,19 Chauncy St,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
25p-222@62j-sj3-9s5,,Apartments at 374 Prospect St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.374194,-71.097339,374 Prospect St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
26b-222@62j-sj2-7kf,,Condos at 13 Berkshire St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.36848,-71.092118,13 Berkshire St,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
26d-222@62j-sj2-vs5,,Mogi'z Salon & Art Gallery,"","",Personal Care Services,"Hair, Nail, and Skin Care Services",81211,42.371577,-71.08537,544 Cambridge St,Cambridge,MA,02141,US,+16177143382,"{ ""Mon"": [], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [[""11:00"", ""17:00""]] }","",,2020-08-16,2019-07-01,POLYGON
zzw-222@62j-shx-hbk,,Cambridge Crossing,"","",Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210,42.371713,-71.074103,320 Morgan Ave,Cambridge,MA,02141,US,+16179148600,,Commercial Real Estate,,,2019-07-01,POLYGON
zzw-222@62j-sj2-j9z,,Apartments at 45 Trowbridge St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.372545,-71.111505,45 Trowbridge St,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
zzw-222@62j-sj2-rkz,,H Mart,SG_BRAND_2cac9b3b6bcc0575b1171b1ea252aee7,H Mart,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,42.365073,-71.102597,581 Massachusetts Ave,Cambridge,MA,02139,US,+18572092747,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }","Snacks,Korean Food,Seafood,Beverages,Bakery",,,2019-07-01,POLYGON
zzw-222@62j-sj2-s3q,,Whole Heart Provisions,"","",Restaurants and Other Eating Places,Full-Service Restaurants,722511,42.362221,-71.098786,298 Massachusetts Ave,Cambridge,MA,02139,US,+16179458991,"{ ""Mon"": [[""10:30"", ""22:00""]], ""Tue"": [[""10:30"", ""22:00""]], ""Wed"": [[""10:30"", ""22:00""]], ""Thu"": [[""10:30"", ""22:00""]], ""Fri"": [[""10:30"", ""22:00""]], ""Sat"": [[""10:30"", ""22:00""]], ""Sun"": [[""10:30"", ""22:00""]] }",Vegan Food,,2022-03-04,2019-07-01,POLYGON
zzw-222@62j-sjs-2tv,,CareWell Urgent Care,SG_BRAND_000b4281ac65a291,CareWell Urgent Care,Outpatient Care Centers,Freestanding Ambulatory Surgical and Emergency Centers,621493,42.388973,-71.144351,601 Concord Ave # 603,Cambridge,MA,02138,US,,"{ ""Mon"": [[""8:00"", ""20:00""]], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [[""9:00"", ""17:00""]] }","Pediatricians,Laboratory Testing,Diagnostic Services,Urgent Care,Radiologists",,,2019-07-01,POLYGON
zzw-224@62j-sjv-975,,Kashmir,"","",Restaurants and Other Eating Places,Full-Service Restaurants,722511,42.374318,-71.122075,52A Brattle St,Cambridge,MA,02138,US,+16177830777,,Indian Food,,,2019-07-01,POLYGON
zzw-226@62j-sj3-5vf,,Prism,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.365596,-71.078531,50 Rogers St,Cambridge,MA,02142,US,,,"",,,2019-07-01,POLYGON
zzw-226@62j-sjv-9fz,,University Place Garage,"","",Other Personal Services,Parking Lots and Garages,812930,42.373327,-71.123347,124 Mount Auburn St,Cambridge,MA,02138,US,+16174910801,"{ ""Mon"": [[""0:00"", ""2:00""], [""6:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""6:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""6:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""6:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""6:00"", ""24:00""]], ""Sat"": [[""0:00"", ""3:00""], [""6:00"", ""24:00""]], ""Sun"": [[""0:00"", ""3:00""], [""6:00"", ""24:00""]] }","",,,2019-07-01,POLYGON
zzz-222@62j-sjt-85f,,Russell Field,"","",Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,42.396696,-71.137653,Russell Field,Cambridge,MA,02140,US,,,"",,,2019-07-01,POLYGON
222-222@62j-shx-jn5,,Apartments at 159 Cambridge St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.371008,-71.078411,159 Cambridge St,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
222-222@62j-sjv-85f,,Harvard University,"","","Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",611310,42.373206,-71.118645,33 Harvard Way,Cambridge,MA,02163,US,+16174956455,"{ ""Mon"": [[""9:30"", ""18:00""]], ""Tue"": [[""9:30"", ""18:00""]], ""Wed"": [[""9:30"", ""18:00""]], ""Thu"": [[""9:30"", ""18:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","",,,2019-07-01,POLYGON
223-223@62j-sj2-y9z,,Condos at 262 Monsignor Obrien Hwy,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.373192,-71.081987,262 Monsignor Obrien Hwy,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
224-222@62j-sjv-9zz,,Takemura Japanese Restaurant,"","",Restaurants and Other Eating Places,Full-Service Restaurants,722511,42.372089,-71.121409,18 Eliot St,Cambridge,MA,02138,US,+16174926700,"{ ""Mon"": [[""11:30"", ""22:00""]], ""Tue"": [[""11:30"", ""22:00""]], ""Wed"": [[""11:30"", ""22:00""]], ""Thu"": [[""11:30"", ""22:00""]], ""Fri"": [[""11:30"", ""23:00""]], ""Sat"": [[""12:00"", ""23:00""]], ""Sun"": [[""12:00"", ""23:00""]] }","Japanese Food,Korean Food,Sushi",,,2019-07-01,POLYGON
226-222@62j-sj2-6ff,,Apartments at 171 Windsor St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.36558,-71.096279,171 Windsor St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
226-222@62j-sjv-8vz,,Harvard Magazine,"","","Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",611310,42.372416,-71.113445,7 Ware St,Cambridge,MA,02138,US,+16174955746,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [], ""Sat"": [], ""Sun"": [] }","",,,2019-07-01,POLYGON
228-226@62j-sjz-j5f,,Boston Body Balance,"","",Personal Care Services,Other Personal Care Services,812199,42.400372,-71.134065,2557 Massachusetts Ave,Cambridge,MA,02140,US,+16173087104,"{ ""Mon"": [], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [], ""Thu"": [[""9:30"", ""19:00""]], ""Fri"": [[""9:00"", ""19:30""]], ""Sat"": [[""9:30"", ""18:00""]], ""Sun"": [] }",Massage Therapy,,2020-01-15,2019-07-01,POLYGON
228-22j@62j-sj2-k4v,zzw-224@62j-sj2-kmk,Schuler John G MD,"","",Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,42.374884,-71.104421,1493 Cambridge St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
22d-222@62j-sgg-k4v,,Apartments at 163 Allston St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.35903,-71.107998,163 Allston St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
22g-222@62j-sjt-2rk,,Condos at 10 W Bellevue Ave,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.385391,-71.127297,10 Bellevue Ave,Cambridge,MA,02140,US,,,"",,,2019-07-01,POLYGON
22g-223@62j-sj2-nqz,,Cambridge Community Fellowship Church,"","",Religious Organizations,Religious Organizations,813110,42.363877,-71.104361,234 Franklin St,Cambridge,MA,02139,US,+16173543909,,"Churches,Hindu Temple,Mosque,Sikh Temple,Synagogues",,,2019-07-01,POLYGON
22k-222@62j-sj2-c3q,,MIT Press Bookstore,"","",Book Stores and News Dealers,Book Stores,451211,42.36238,-71.098321,301 Massachusetts Ave,Cambridge,MA,02139,US,+16172535249,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""12:00"", ""18:00""]], ""Sun"": [[""12:00"", ""18:00""]] }",Books,,,2019-07-01,POLYGON
22p-222@62j-sk2-w8v,,Apartments at 4 Cogswell Ave,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.39137,-71.124074,4 Cogswell Ave,Cambridge,MA,02140,US,,,"",,,2019-07-01,POLYGON
22r-223@62j-sjs-vpv,,7-Eleven,SG_BRAND_2e2448f12fc87fe452e9166153797a7f,7-Eleven,Grocery Stores,Convenience Stores,445120,42.394297,-71.126183,2245 Massachusetts Ave,Cambridge,MA,02140,US,,,"Snacks,Sandwich Shop,Discount Store,Coffee Shop,Beverages",,,2020-01-12,POLYGON
22s-227@62j-sj2-rhq,,Workbar,"","",Lessors of Real Estate,Lessors of Other Real Estate Property,531190,42.366334,-71.103453,45 Prospect St,Cambridge,MA,02139,US,,"{ ""Mon"": [[""8:30"", ""17:30""]], ""Tue"": [[""8:30"", ""17:30""]], ""Wed"": [[""8:30"", ""17:30""]], ""Thu"": [[""8:30"", ""17:30""]], ""Fri"": [[""8:30"", ""17:30""]], ""Sat"": [], ""Sun"": [] }","",,,2019-07-01,POLYGON
22z-222@62j-sjv-jvz,,Apartments at 30 Bay St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.367413,-71.111168,30 Bay St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
233-223@62j-sj3-9mk,,Halal Buns,"","",Restaurants and Other Eating Places,Limited-Service Restaurants,722513,42.374045,-71.100616,12 Springfield St,Cambridge,MA,02139,US,,,"Burgers,Halal Food,Mediterranean Food",,,2019-07-01,POLYGON
235-222@62j-sj2-52k,,Apartments at 5 Webster Ave,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.367034,-71.092239,5 Webster Ave,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
23h-222@62j-sjv-ndv,,Mary Ellen DeBiase Ph D,"","",Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330,42.373876,-71.124862,2 Brewer St,Cambridge,MA,02138,US,,,Mental Health,,,2019-07-01,POLYGON
23h-222@62j-sk3-3t9,,Apartments at 10 Chauncy St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.379532,-71.121443,10 Chauncy St,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
23k-225@62j-sgg-j7q,,Apartments at 114 Magazine St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.359884,-71.109975,114 Magazine St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
23p-222@62j-sj3-9fz,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110,42.373748,-71.099489,1311 Cambridge St,Cambridge,MA,02139,US,+16178644344,"{ ""Mon"": [[""9:30"", ""17:00""]], ""Tue"": [[""9:30"", ""17:00""]], ""Wed"": [[""9:30"", ""17:00""]], ""Thu"": [[""9:30"", ""17:00""]], ""Fri"": [[""9:30"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","",,,2019-07-01,POLYGON
24f-222@62j-sj2-j9z,,Apartments at 430 Broadway,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.372739,-71.110171,430 Broadway,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
24j-222@62j-sjv-975,,Walker Dental,"","",Offices of Dentists,Offices of Dentists,621210,42.374607,-71.12231,60 Brattle St Apt 101,Cambridge,MA,02138,US,+16173543351,"{ ""Mon"": [[""8:00"", ""16:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""13:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""16:00""]], ""Sat"": [], ""Sun"": [] }","",,,2019-07-01,POLYGON
24p-222@62j-sj2-89z,,Apartments at 1102 Cambridge St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.372961,-71.095744,1102 Cambridge St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
24q-222@62j-sk3-59f,,Apartments at 3 Sacramento Pl,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.382852,-71.11714,3 Sacramento Pl,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
24r-223@62j-sj2-syv,,CsQuare Massage,"","",Personal Care Services,Other Personal Care Services,812199,42.366656,-71.105344,763 Massachusetts Ave Ste 7,Cambridge,MA,02139,US,+16174663737,"{ ""Mon"": [[""13:00"", ""17:30""]], ""Tue"": [[""15:00"", ""20:00""]], ""Wed"": [], ""Thu"": [[""13:00"", ""18:30""]], ""Fri"": [], ""Sat"": [[""11:00"", ""20:00""]], ""Sun"": [] }",Massage Therapy,,2021-10-23,2019-07-01,POLYGON
24s-222@62j-sj2-t5f,,Apartments at 863 Massachusetts Ave,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.367776,-71.107101,863 Massachusetts Ave,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
24v-222@62j-sjv-j5f,,Apartments at 17 Bay St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.36815,-71.111007,17 Bay St,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
252-223@62j-sjv-975,,Custom Barber Shop,"","",Personal Care Services,"Hair, Nail, and Skin Care Services",81211,42.374214,-71.121398,49A Brattle St,Cambridge,MA,02138,US,+16178767986,"{ ""Mon"": [[""8:00"", ""17:30""]], ""Tue"": [[""8:00"", ""17:30""]], ""Wed"": [[""8:00"", ""17:30""]], ""Thu"": [[""8:00"", ""17:30""]], ""Fri"": [[""8:00"", ""17:30""]], ""Sat"": [[""8:00"", ""17:30""]], ""Sun"": [] }",Barber,,,2019-07-01,POLYGON
25d-222@62j-sj2-gp9,,Apartments at 6 Ellsworth Ave,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.372539,-71.107357,6 Ellsworth Ave,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
25s-222@62j-sgg-gp9,,Apartments at 12 Glenwood Ave,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.356643,-71.11205,12 Glenwood Ave,Cambridge,MA,02139,US,,,"",,,2019-07-01,POLYGON
25t-222@62j-sjs-v75,,Kaleidoscope Tattoo & Art Gallery,"","",Personal Care Services,Other Personal Care Services,812199,42.39668,-71.129764,2374 Massachusetts Ave,Cambridge,MA,02140,US,+16174418287,"{ ""Mon"": [[""12:00"", ""20:00""]], ""Tue"": [[""12:00"", ""20:00""]], ""Wed"": [[""12:00"", ""20:00""]], ""Thu"": [[""12:00"", ""20:00""]], ""Fri"": [[""12:00"", ""20:00""]], ""Sat"": [[""12:00"", ""20:00""]], ""Sun"": [[""12:00"", ""20:00""]] }",Tattoo,,,2019-07-01,POLYGON
zzw-224@62j-sgg-kvf,,Taqueria,"","",Restaurants and Other Eating Places,Full-Service Restaurants,722511,42.360979,-71.113912,340 River St,Cambridge,MA,02139,US,,,Mexican Food,,2021-12-29,2019-07-01,POLYGON
zzw-224@62j-sj2-p7q,,Cardio KickFit at CW Taekwondo,"","",Other Schools and Instruction,Sports and Recreation Instruction,611620,42.359191,-71.093366,600r Massachusetts Ave Entrance At 285 Green St,Cambridge,MA,02139,US,,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""18:30"", ""19:30""]], ""Thu"": [], ""Fri"": [[""18:00"", ""19:00""]], ""Sat"": [], ""Sun"": [[""10:00"", ""11:00""]] }","Cardio Classes,Martial Arts",,,2019-07-01,POLYGON
zzw-22b@62j-sj2-vcq,,Twin City Plaza,"","",Lessors of Real Estate,Malls,531120,42.374394,-71.084697,14 McGrath Hwy # 22,Cambridge,MA,02143,US,,,Outlet Store,,,2019-07-01,POLYGON
zzy-224@62j-shx-jy9,,Smart Toys,"","","Sporting Goods, Hobby, and Musical Instrument Stores","Hobby, Toy, and Game Stores",451120,42.368135,-71.076448,100 Cambridgeside Pl Sp W112,Cambridge,MA,02141,US,+16172259070,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""11:00"", ""19:00""]] }",Toys,,2020-01-15,2019-07-01,POLYGON
zzy-227@62j-shx-jgk,,GoodNature a Seres Therapeutics Program,"","",Individual and Family Services,,6241,42.371289,-71.080489,267 Cambridge St,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
zzy-228@62j-sk2-vmk,,Akai Ryu Shabu & Sushi Restaurant,"","",Restaurants and Other Eating Places,Full-Service Restaurants,722511,42.388544,-71.118631,822 Somerville Ave Fl 2,Cambridge,MA,02140,US,+16178680186,,"Chinese Food,Japanese Food,Sushi",,2020-01-15,2019-07-01,POLYGON
zzy-22b@62j-sj3-47q,,Trademark Tour of MIT,"","",Scenic and Sightseeing Transportation,,487,42.362141,-71.085987,300 Main St,Cambridge,MA,02142,US,,"{ ""Mon"": [[""11:30"", ""13:30""]], ""Tue"": [[""11:30"", ""13:30""]], ""Wed"": [[""11:30"", ""13:30""]], ""Thu"": [[""11:30"", ""13:30""]], ""Fri"": [[""11:30"", ""13:30""]], ""Sat"": [[""11:30"", ""13:30""]], ""Sun"": [[""11:30"", ""13:30""]] }","Tours,Walking Tours",,2020-01-15,2019-07-01,POLYGON
222-222@62j-sjs-gkz,,Iggy's Bread Of The World,"","",Other Miscellaneous Manufacturing,,3399,42.393618,-71.148304,130 Fawcett St,Cambridge,MA,02138,US,+16174917600,"{ ""Mon"": [[""7:00"", ""18:00""]], ""Tue"": [[""7:00"", ""18:00""]], ""Wed"": [[""7:00"", ""18:00""]], ""Thu"": [[""7:00"", ""18:00""]], ""Fri"": [[""7:00"", ""18:00""]], ""Sat"": [[""7:00"", ""17:00""]], ""Sun"": [[""7:00"", ""16:00""]] }","",,,2019-07-01,POLYGON
222-222@62j-sjt-6hq,,Hanover Alewife,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.393516,-71.145365,130 Cambridgepark Dr,Cambridge,MA,02140,US,,,"",,,2019-07-01,POLYGON
222-225@62j-sj3-33q,,Demand Physical Therapy,"","",Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,42.362778,-71.083547,1 Broadway,Cambridge,MA,02142,US,+16175004499,"{ ""Mon"": [[""7:00"", ""19:00""]], ""Tue"": [[""7:00"", ""19:00""]], ""Wed"": [[""7:00"", ""19:00""]], ""Thu"": [[""7:00"", ""19:00""]], ""Fri"": [[""7:00"", ""19:00""]], ""Sat"": [[""7:00"", ""19:00""]], ""Sun"": [[""7:00"", ""19:00""]] }","Physical Therapy,Sports Medicine",,,2019-07-01,POLYGON
